2019-01-01,0,2
2019-01-01,1,1
2019-01-01,2,3
2019-01-01,3,3
2019-01-01,4,5
2019-01-01,5,2
2019-01-01,6,2
2019-01-01,7,3
2019-01-01,8,1
2019-01-01,9,4
2019-01-01,10,1
2019-01-01,12,2
2019-01-01,13,4
2019-01-01,14,2
2019-01-01,15,2
2019-01-01,16,1
2019-01-01,17,2
2019-01-01,18,3
2019-01-01,19,6
2019-01-01,20,5
2019-01-01,21,6
2019-01-01,22,4
2019-01-01,23,1
2019-01-02,0,6
2019-01-02,1,3
2019-01-02,2,9
2019-01-02,3,6
2019-01-02,4,7
2019-01-02,5,2
2019-01-02,6,5
2019-01-02,7,5
2019-01-02,8,1
2019-01-02,9,1
2019-01-02,10,5
2019-01-02,11,6
2019-01-02,12,7
2019-01-02,13,6
2019-01-02,14,5
2019-01-02,15,2
2019-01-02,17,4
2019-01-02,18,5
2019-01-02,19,6
2019-01-02,20,5
2019-01-02,21,2
2019-01-02,22,2
2019-01-02,23,7
2019-01-03,0,2
2019-01-03,1,3
2019-01-03,2,3
2019-01-03,3,3
2019-01-03,4,4
2019-01-03,5,5
2019-01-03,6,1
2019-01-03,7,4
2019-01-03,8,6
2019-01-03,9,2
2019-01-03,10,5
2019-01-03,11,3
2019-01-03,12,2
2019-01-03,13,4
2019-01-03,14,4
2019-01-03,15,6
2019-01-03,16,10
2019-01-03,17,3
2019-01-03,18,3
2019-01-03,19,6
2019-01-03,20,4
2019-01-03,21,3
2019-01-03,22,8
2019-01-03,23,6
2019-01-04,0,6
2019-01-04,1,6
2019-01-04,2,2
2019-01-04,3,4
2019-01-04,4,7
2019-01-04,5,5
2019-01-04,6,3
2019-01-04,7,5
2019-01-04,8,5
2019-01-04,9,14
2019-01-04,10,8
2019-01-04,11,1
2019-01-04,12,4
2019-01-04,14,3
2019-01-04,15,4
2019-01-04,16,5
2019-01-04,17,2
2019-01-04,18,2
2019-01-04,19,2
2019-01-04,20,4
2019-01-04,21,6
2019-01-04,22,5
2019-01-04,23,8
2019-01-05,0,4
2019-01-05,1,3
2019-01-05,2,2
2019-01-05,3,2
2019-01-05,4,3
2019-01-05,5,5
2019-01-05,6,4
2019-01-05,7,4
2019-01-05,8,3
2019-01-05,9,3
2019-01-05,10,2
2019-01-05,12,7
2019-01-05,13,5
2019-01-05,14,6
2019-01-05,15,5
2019-01-05,17,6
2019-01-05,18,6
2019-01-05,19,2
2019-01-05,20,5
2019-01-05,21,3
2019-01-05,22,4
2019-01-05,23,5
2019-01-06,0,5
2019-01-06,1,4
2019-01-06,3,4
2019-01-06,4,5
2019-01-06,5,3
